AnoMes,PAG_PFPJ,REC_PFPJ,PAG_REGIAO,REC_REGIAO,PAG_IDADE,REC_IDADE,FORMAINICIACAO,NATUREZA,FINALIDADE,VALOR,QUANTIDADE
202411,PF,PJ,NORDESTE,NORTE,entre 30 e 39 anos,Nao se aplica,MANU,P2G,Pix,"31488,37",5
202411,PF,PF,NORDESTE,SUDESTE,entre 50 e 59 anos,entre 40 e 49 anos,MANU,P2P,Pix,"17702192,83",93119
202411,PF,PJ,SUDESTE,SUL,mais de 60 anos,Nao se aplica,DICT,P2G,Pix,"21802,41",39
202411,PJ,PF,SUL,SUL,Nao se aplica,entre 50 e 59 anos,DICT,B2P,Pix,"4398553782,39",3242867
202411,PF,PJ,NORTE,SUL,entre 40 e 49 anos,Nao se aplica,QRDN,P2G,Pix,"366494,02",796
202411,PF,PJ,SUL,CENTRO-OESTE,entre 50 e 59 anos,Nao se aplica,QRES,P2G,Pix,"7374,1",92
202411,PF,PF,SUL,NORTE,até 19 anos,entre 30 e 39 anos,QRES,P2P,Pix,"126822,58",5720
202411,PF,PF,SUDESTE,Nao informado,entre 20 e 29 anos,até 19 anos,QRES,P2P,Pix,"3790,95",57
202411,PF,PF,CENTRO-OESTE,SUDESTE,mais de 60 anos,mais de 60 anos,QRDN,P2P,Pix,"69036,47",1270
202411,PF,PJ,NORDESTE,NORDESTE,entre 20 e 29 anos,Nao se aplica,MANU,P2G,Pix,"182825,26",457
202411,PF,PF,SUL,NORTE,entre 40 e 49 anos,entre 50 e 59 anos,Nao disponivel,P2P,Nao disponivel,"12938,1",93
202411,PF,PF,NORDESTE,NORDESTE,entre 50 e 59 anos,mais de 60 anos,QRDN,P2P,Pix,"11495527,09",320080
202411,PF,PJ,Nao informado,CENTRO-OESTE,mais de 60 anos,Nao se aplica,QRDN,P2B,Pix,"259637,56",1087
202411,PJ,PF,Nao informado,NORDESTE,Nao se aplica,entre 30 e 39 anos,DICT,B2P,Pix,"1574467,61",1559
202411,PF,PF,Nao informado,SUL,entre 40 e 49 anos,entre 50 e 59 anos,DICT,P2P,Pix,"3075524,26",3261
202411,PF,PF,NORTE,NORTE,entre 30 e 39 anos,entre 50 e 59 anos,Nao disponivel,P2P,Nao disponivel,"1382915,76",7388
202411,PF,PF,NORTE,NORTE,até 19 anos,até 19 anos,Nao disponivel,P2P,Nao disponivel,"1444079,19",27070
202411,PF,PF,NORDESTE,Nao informado,entre 40 e 49 anos,mais de 60 anos,MANU,P2P,Pix,"73021,47",238
202411,PF,PF,SUDESTE,SUDESTE,entre 50 e 59 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,"4311063,51",11513
202411,PF,PF,SUL,SUDESTE,entre 40 e 49 anos,entre 20 e 29 anos,Nao disponivel,P2P,Nao disponivel,"132433,98",713
202411,PF,PF,NORTE,NORTE,entre 50 e 59 anos,entre 40 e 49 anos,Nao disponivel,P2P,Nao disponivel,"630774,51",3417
202411,PF,PF,NORTE,NORTE,entre 40 e 49 anos,até 19 anos,QRES,P2P,Pix,"2611976,94",62477
202411,PF,PF,SUL,Nao informado,entre 30 e 39 anos,Nao informado,MANU,P2P,Pix,50,1
202411,PF,PF,SUL,Nao informado,entre 20 e 29 anos,entre 20 e 29 anos,Nao disponivel,P2P,Nao disponivel,"26690,31",43
202411,PF,PF,Nao informado,Nao informado,entre 50 e 59 anos,até 19 anos,QRES,P2P,Pix,183,7
202411,PF,PF,CENTRO-OESTE,NORTE,entre 40 e 49 anos,até 19 anos,Nao disponivel,P2P,Nao disponivel,"15986,23",182
202411,PF,PF,CENTRO-OESTE,SUDESTE,entre 30 e 39 anos,entre 40 e 49 anos,INIC,P2P,Pix,"24,9",1
